Date,index,FX,GDP,CPI,RFR,UR,BOP,GFCF
01/06/06,19128.63086,11.221,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
02/06/06,19421.73047,11.301,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
05/06/06,18954.91992,11.325,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
06/06/06,18798.2793,11.275,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
07/06/06,18413.43945,11.325,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
08/06/06,18257.64063,11.396,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
09/06/06,17748.74023,11.334,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
12/06/06,16986.26953,11.412,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
13/06/06,16653.15039,11.464,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
14/06/06,16802.09961,11.422,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
15/06/06,17932.33008,11.3817,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
16/06/06,18041.78906,11.382,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
19/06/06,17581.88086,11.407,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
20/06/06,17781.2793,11.437,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
21/06/06,18156.21094,11.364,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
22/06/06,18188.40039,11.442,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
23/06/06,18545.73047,11.391,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
26/06/06,18491.40039,11.476,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
27/06/06,18021.4707,11.431,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
28/06/06,18101.83008,11.349,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
29/06/06,18908.33008,11.3025,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
30/06/06,19147.16992,11.238,0.975748912,12.41749,7.6,3.885853,-0.6866904,10.92054351
03/07/06,20060.82031,11.077,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
04/07/06,20329.49023,11.0535,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
05/07/06,19514.61914,11.1809,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
06/07/06,20047.61914,11.023,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
07/07/06,19829.59961,10.982,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
10/07/06,19700.15039,10.981,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
11/07/06,19570.21094,10.944,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
12/07/06,19419.43945,11.038,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
13/07/06,18725.25977,11.0255,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
14/07/06,18328.66016,10.98,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
17/07/06,18437.98047,10.9788,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
18/07/06,18885.66992,10.906,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
19/07/06,19871.7793,10.8643,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
20/07/06,19510.51953,10.855,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
21/07/06,19527.36914,10.86,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
24/07/06,19938.69922,10.874,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
25/07/06,20082,10.877,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
26/07/06,19913.18945,10.9379,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
27/07/06,20138.78906,10.883,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
28/07/06,20252.33008,10.847,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
31/07/06,20095.92969,10.941,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
01/08/06,19973.19922,11.023,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
02/08/06,20145.09961,10.91,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
03/08/06,20261.81055,10.9505,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
04/08/06,20354.99023,10.841,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
07/08/06,20412.49023,10.8765,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
08/08/06,20342.7793,10.861,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
09/08/06,20062.36914,10.829,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
10/08/06,20048.17969,10.829,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
11/08/06,20273.85938,10.767,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
14/08/06,20290.49023,10.843,0.275131945,12.41749,7.6,3.885853,0.005656481,11.12552114
